Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Feedback comments
340,5,2,7,6,9,2,1,8,Course structure could be better.
253,6,5,8,6,2,1,2,9,Loved the presentations.
680,7,7,6,5,4,2,3,1,I would recommend this course.
806,9,6,7,1,5,9,4,6,Sometimes explanations are confusing.
632,8,10,8,4,6,6,9,9,Course structure could be better.
832,7,2,7,8,3,5,1,4,Best subject ever!
772,9,3,5,2,10,3,8,1,Assignments are too hard.
961,9,8,7,4,4,3,3,10,Course structure could be better.
814,6,5,8,6,4,4,7,9,I would recommend this course.
863,5,9,4,7,9,4,4,5,Sometimes explanations are confusing.
576,10,3,8,6,6,3,6,9,Loved the presentations.
702,8,4,7,1,2,1,8,8,I would recommend this course.
541,5,4,4,2,2,7,8,1,I would recommend this course.
552,5,6,7,2,7,4,4,2,Assignments are too hard.
510,6,7,8,3,4,7,7,6,Very supportive teacher.
159,7,7,6,6,3,9,3,1,Sometimes explanations are confusing.
223,9,10,4,5,7,10,10,6,The teacher explains well.
807,8,3,4,2,2,4,6,1,I would recommend this course.
525,9,9,4,3,5,5,9,2,Very supportive teacher.
799,5,6,5,4,2,1,1,7,The teacher explains well.
24,9,10,6,10,2,10,1,9,Sometimes explanations are confusing.
509,8,2,7,5,2,3,4,4,"Great course, learned a lot!"
797,9,10,4,10,9,2,10,7,Best subject ever!
418,8,8,6,7,9,5,2,8,Very supportive teacher.
48,5,5,4,2,1,10,10,9,Not very helpful.
657,9,5,7,3,2,8,10,6,"Great course, learned a lot!"
864,9,8,5,2,3,9,2,8,Best subject ever!
861,5,6,4,5,4,4,6,6,Assignments are too hard.
118,9,10,7,7,4,6,9,1,Course structure could be better.
387,7,3,8,1,6,8,6,8,Loved the presentations.
282,5,6,7,3,8,1,1,9,Not very helpful.
503,8,6,6,3,3,6,4,10,Assignments are too hard.
934,5,6,4,6,10,3,4,10,Sometimes explanations are confusing.
781,8,3,4,5,1,8,10,5,Assignments are too hard.
898,10,10,4,3,5,4,2,1,Course structure could be better.
474,8,3,7,6,4,3,7,7,Sometimes explanations are confusing.
704,9,9,8,6,8,4,8,5,Not very helpful.
977,9,5,4,4,6,3,1,9,Course structure could be better.
454,9,6,6,1,10,8,10,7,The teacher explains well.
295,5,7,6,3,1,7,2,9,Loved the presentations.
35,10,6,4,5,6,2,3,1,Not very helpful.
304,9,9,4,6,5,1,7,2,The teacher explains well.
56,6,9,6,8,9,6,2,4,Best subject ever!
922,8,10,7,4,5,9,3,5,Not very helpful.
569,10,7,6,9,2,6,2,5,Best subject ever!
186,6,4,4,4,6,9,10,10,Sometimes explanations are confusing.
258,7,2,7,2,7,2,6,10,The teacher explains well.
560,8,7,8,3,8,7,4,8,Loved the presentations.
621,10,4,5,1,5,10,1,10,Course structure could be better.
568,10,7,4,6,10,8,10,8,I would recommend this course.
393,6,9,8,7,5,8,1,4,Assignments are too hard.
12,8,10,7,2,8,9,6,6,"Great course, learned a lot!"
798,7,2,8,7,10,5,3,5,Loved the presentations.
740,8,10,7,3,2,10,10,1,The teacher explains well.
184,10,9,8,6,4,8,8,9,I would recommend this course.
410,7,2,5,2,6,6,3,10,Loved the presentations.
480,10,6,7,8,5,3,1,5,The teacher explains well.
84,7,4,6,10,7,7,8,9,Very supportive teacher.
89,9,9,4,5,1,2,3,9,Very supportive teacher.
763,6,9,6,7,6,10,2,5,Best subject ever!
86,7,8,6,8,3,10,2,7,Loved the presentations.
867,6,4,6,4,2,7,5,3,Very supportive teacher.
248,6,6,4,6,6,6,2,3,The teacher explains well.
751,7,3,8,10,2,7,2,6,Best subject ever!
522,6,9,8,10,9,5,3,6,The teacher explains well.
696,5,5,4,9,3,1,8,6,Best subject ever!
274,8,2,4,7,10,8,5,8,Loved the presentations.
921,9,7,5,10,10,9,6,4,I would recommend this course.
957,6,2,7,8,5,9,5,4,Course structure could be better.
88,9,4,4,9,9,9,7,10,Not very helpful.
149,5,6,5,1,8,9,7,8,I would recommend this course.
737,7,9,4,5,5,2,2,1,Sometimes explanations are confusing.
891,7,2,4,9,6,9,7,9,The teacher explains well.
1,9,6,8,7,6,5,3,10,Sometimes explanations are confusing.
868,7,9,7,2,6,2,9,4,I would recommend this course.
895,5,5,7,7,2,1,8,9,Best subject ever!
638,9,10,8,2,1,1,4,8,Not very helpful.
707,5,6,6,5,1,9,6,9,Not very helpful.
432,9,9,6,8,2,3,2,4,"Great course, learned a lot!"
988,7,4,6,7,6,9,7,1,Not very helpful.
742,7,7,8,2,1,1,8,1,Course structure could be better.
730,6,5,4,5,6,6,7,2,Not very helpful.
321,5,7,6,2,3,5,3,5,I would recommend this course.
904,8,5,8,9,7,9,8,6,"Great course, learned a lot!"
171,6,10,4,6,1,6,2,3,I would recommend this course.
695,10,4,4,1,5,8,7,1,I would recommend this course.
498,8,5,4,5,10,7,1,10,Assignments are too hard.
446,7,8,5,10,10,2,5,9,"Great course, learned a lot!"
982,9,10,7,5,6,6,1,5,I would recommend this course.
981,7,6,7,5,4,6,8,3,Assignments are too hard.
849,6,10,6,7,7,4,10,7,Assignments are too hard.
297,7,10,6,8,10,10,2,8,"Great course, learned a lot!"
713,8,6,7,5,2,7,10,8,Sometimes explanations are confusing.
192,8,4,8,6,3,5,1,5,Best subject ever!
561,9,6,4,8,6,8,3,3,Course structure could be better.
364,6,6,7,9,6,4,7,6,Best subject ever!
40,6,7,5,6,10,5,6,3,Not very helpful.
521,5,9,4,2,1,8,3,7,Course structure could be better.
201,8,2,8,9,8,8,9,4,Not very helpful.
780,6,4,4,10,6,5,6,8,I would recommend this course.
853,7,9,4,8,9,4,10,2,The teacher explains well.
202,5,6,6,10,3,4,2,8,"Great course, learned a lot!"
421,6,3,8,10,6,8,7,9,Course structure could be better.
671,9,8,6,10,10,7,7,8,Course structure could be better.
334,5,9,4,3,8,10,4,2,I would recommend this course.
843,6,8,5,4,5,5,10,6,Sometimes explanations are confusing.
57,10,7,6,10,4,4,2,4,Assignments are too hard.
353,6,7,5,3,6,6,7,5,I would recommend this course.
681,7,2,7,5,2,1,3,7,Very supportive teacher.
394,6,3,6,10,7,4,3,3,Assignments are too hard.
188,7,6,8,9,9,8,9,10,"Great course, learned a lot!"
641,5,10,6,7,4,2,5,4,Assignments are too hard.
544,10,7,8,4,6,5,7,8,Sometimes explanations are confusing.
163,9,3,4,7,3,8,6,8,Assignments are too hard.
283,9,2,6,1,2,10,5,5,"Great course, learned a lot!"
820,6,5,4,9,2,5,10,7,Sometimes explanations are confusing.
254,6,6,6,8,9,4,4,8,Best subject ever!
221,9,6,8,1,8,2,5,6,Course structure could be better.
736,8,2,8,8,2,6,5,4,Course structure could be better.
280,9,10,4,7,7,3,5,4,Not very helpful.
976,5,2,5,5,7,9,4,3,Best subject ever!
481,9,10,8,9,1,3,1,9,Best subject ever!
80,7,6,4,1,5,6,1,8,Assignments are too hard.
473,10,10,7,5,2,6,10,5,Course structure could be better.
762,10,7,5,7,8,9,3,4,"Great course, learned a lot!"
385,5,2,6,7,3,2,10,1,Loved the presentations.
195,9,7,5,5,10,10,5,1,Loved the presentations.
144,8,6,5,6,3,8,2,6,Sometimes explanations are confusing.
767,10,10,8,3,9,6,4,8,Course structure could be better.
300,6,8,4,5,5,9,5,4,Course structure could be better.
580,5,2,5,8,6,5,4,9,Loved the presentations.
216,5,9,8,2,4,8,9,10,Course structure could be better.
583,9,3,4,6,5,3,8,7,Assignments are too hard.
881,7,9,5,9,4,5,4,8,Very supportive teacher.
488,8,8,6,9,7,4,6,1,The teacher explains well.
892,5,8,8,9,6,9,10,6,Best subject ever!
152,7,2,5,1,5,10,5,6,Not very helpful.
925,7,10,6,7,9,10,1,3,Sometimes explanations are confusing.
729,9,9,8,7,5,4,5,5,Very supportive teacher.
647,5,5,8,8,9,6,9,8,Loved the presentations.
686,8,6,5,5,2,6,5,8,Best subject ever!
93,9,10,6,4,9,6,7,8,Course structure could be better.
485,8,4,7,1,4,7,1,4,Not very helpful.
59,5,8,5,6,10,3,4,10,Course structure could be better.
907,10,4,7,6,1,2,5,1,"Great course, learned a lot!"
158,10,6,5,6,2,10,3,8,"Great course, learned a lot!"
955,10,4,4,1,10,1,10,10,Not very helpful.
758,8,3,7,7,9,6,7,5,Not very helpful.
605,6,4,4,4,7,5,5,2,Loved the presentations.
475,10,6,4,9,3,1,6,7,Not very helpful.
154,9,7,4,8,2,6,3,9,Assignments are too hard.
79,6,4,6,6,6,4,9,10,Course structure could be better.
